09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   x : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   y : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0017 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0020 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0024 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0034 : 3
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0037 : 960
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0038 : 540
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0041 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0042 : D:\SteamLibrary\steamapps\common\FFXINA\SquareEnix\FINAL FANTASY XI
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize |   padguid000 : -1
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/01/2024 12:51:07.806 | DEBUG    |                             Properties::Properties | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                           ChatManager::ChatManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                           FontManager::FontManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                             GuiManager::GuiManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                             Controller::Controller | null.ctor
09/01/2024 12:51:07.806 | DEBUG    |                                     XInput::XInput | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                         InputManager::InputManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                       PacketManager::PacketManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                       PluginManager::PluginManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                     PointerManager::PointerManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
09/01/2024 12:51:07.806 | DEBUG    |                             Properties::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                           InputManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                          OffsetManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                         PointerManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                          MemoryManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                             MemoryManager::Release | <Begin>
